00_TYPE,01_DISTACNE,02_PERFORMANCE,03_Detail_01_Build_Time,03_Detail_02_Compute_Time,03_Sampling_Rate,04_cand_1,04_cand_2,,,,,VERTEX,SPHERE,AABB,,VERTEX,SPHERE,AABB
Vertex,0.120369,31.7989,4.4863,11.0879,0.1,"0.196585, -0.006588, -0.148975","0.078485, -0.019057, -0.129337",,,,,0.120369,0.279383,0.10752,,31.7989,34.7815,35.422
Sphere,0.279383,34.7815,4.3588,12.4827,0.1,"0.185922, 0.004612, -0.100233","-0.082961, 0.008183, -0.176023",,,,,0.111064,0.162043,0.107374,,53.1279,55.183,55.1914
AABB,0.10752,35.422,4.3026,12.6853,0.1,"-0.108284, 0.011963, -0.158425","-0.001581, 0.005739, -0.146749",,,,,0.109417,0.147526,0.10619,,77.9456,74.3125,75.4451
Vertex,0.111064,53.1279,4.394,22.2654,0.2,"-0.108231, 0.011613, -0.158075","0.001822, -0.000287, -0.149017",,,,,0.107846,0.145579,0.104641,,102.008,93.3421,95.2327
Sphere,0.162043,55.183,4.4577,22.5926,0.2,"0.195372, -0.005888, -0.145842","0.047801, -0.026368, -0.082112",,,,,0.107719,0.136468,0.103828,,128.085,112.682,114.772
AABB,0.107374,55.1914,4.3989,22.7922,0.2,"-0.108284, 0.011963, -0.158425","-0.002346, 0.002261, -0.143860",,,,,0.107347,0.136468,0.103828,,154.809,132.01,134.475
Vertex,0.109417,77.9456,4.5995,34.5245,0.3,"-0.090155, -0.027587, -0.060775","0.015546, -0.003437, -0.075475",,,,,0.107918,0.136468,0.103495,,182.625,152.202,153.998
Sphere,0.147526,74.3125,4.4768,32.0599,0.3,"0.192893, -0.013237, -0.134975","0.066527, -0.016030, -0.058899",,,,,0.106387,0.130279,0.103189,,209.882,170.623,173.005
AABB,0.10619,75.4451,4.6684,32.8658,0.3,"-0.108284, 0.011963, -0.158425","-0.002176, 0.007900, -0.157481",,,,,0.106334,0.12306,0.10309,,238.319,189.492,192.868
Vertex,0.107846,102.008,4.4118,47.7044,0.4,"-0.108323, 0.011963, -0.158072","-0.001184, 0.004963, -0.147925",,,,,0.106492,0.12306,0.102864,,266.864,208.769,212.328
Sphere,0.145579,93.3421,4.4185,41.9727,0.4,"0.192893, -0.013237, -0.134975","0.070177, -0.014223, -0.056662",,,,,0.105641,0.12306,0.102864,,296.414,228.02,231.98
AABB,0.104641,95.2327,4.3623,42.8066,0.4,"-0.090746, -0.027937, -0.059375","0.013880, -0.026543, -0.060503",,,,,0.105269,0.122094,0.102835,,324.661,246.882,251.842
Vertex,0.107719,128.085,4.4344,60.9045,0.5,"-0.107973, 0.011963, -0.157422","-0.001703, -0.000637, -0.145125",,,,,0.105301,0.122094,0.102786,,353.464,266.375,271.517
Sphere,0.136468,112.682,4.4487,51.6034,0.5,"-0.107273, 0.012312, -0.157095","0.027866, -0.005295, -0.164225",,,,,0.105583,0.121675,0.102734,,384.218,285.013,290.877
AABB,0.103828,114.772,4.4601,52.6396,0.5,"0.198692, -0.010088, -0.137075","0.094877, -0.011572, -0.136329",,,,,0.105948,0.121675,0.102734,,415.517,304.272,309.432
Vertex,0.107347,154.809,4.5232,74.9503,0.6,"-0.108195, 0.012312, -0.157725","-0.002178, 0.002716, -0.143885",,,,,0.105083,0.119877,0.102734,,444.741,323.125,329.943
Sphere,0.136468,132.01,4.4042,61.3394,0.6,"-0.107273, 0.012312, -0.157095","0.027866, -0.005295, -0.164225",,,,,0.10463,0.119838,0.102734,,472.629,342.185,347.97
AABB,0.103828,134.475,4.4671,62.4746,0.6,"0.198692, -0.010088, -0.137075","0.094877, -0.011572, -0.136329",,,,,0.104942,0.11847,0.102734,,505.957,361.595,368.176
Vertex,0.107918,182.625,4.6197,89.3488,0.7,"-0.108118, 0.011613, -0.157725","-0.000216, 0.012312, -0.155975",,,,,0.103861,0.117406,0.102734,,537.367,379.537,387.21
Sphere,0.136468,152.202,4.569,71.0175,0.7,"-0.107273, 0.012312, -0.157095","0.027866, -0.005295, -0.164225",,,,,0.104226,0.117406,0.102734,,571.274,399.166,407.498
