00_TYPE,01_DISTACNE,02_PERFORMANCE,03_Detail_01_Build_Time,03_Detail_02_Compute_Time,03_Sampling_Rate,04_cand_1,04_cand_2,,,,,,Vertex,Sphere,AABB,,Vertex,Sphere,AABB
Vertex,53.778,219.582,4.8892,71.1572,0.1,"61.420052, 76.730591, 38.063057","53.584618, 25.650164, 23.181196",,,,,,53.778,66.8897,50.7907,,219.582,224.279,228.51
Sphere,66.8897,224.279,4.9004,99.3276,0.1,"59.231468, 75.288628, 39.103458","46.536980, 17.506374, 7.889698",,,,,,50.9472,53.9515,48.8694,,407.972,383.671,388.253
AABB,50.7907,228.51,5.944,100.914,0.1,"61.736523, 76.723328, 38.699764","47.227100, 28.129890, 35.898453",,,,,,50.1981,53.0025,46.5654,,612.238,537.954,546.013
Vertex,50.9472,407.972,5.0036,136.336,0.2,"61.497196, 76.911194, 38.688564","53.584618, 26.643950, 36.196968",,,,,,48.2314,51.6517,46.1722,,829.561,693.615,704.731
Sphere,53.9515,383.671,5.01,177.708,0.2,"61.568180, 76.304047, 38.999393","33.566742, 30.445059, 43.861591",,,,,,47.905,51.5556,46.0629,,1056.59,849.377,860.893
AABB,48.8694,388.253,4.6639,180.076,0.2,"59.937672, 75.759590, 38.822037","56.560322, 27.023233, 37.564842",,,,,,47.5467,51.6602,45.9402,,1287.48,1005.66,1018.79
Vertex,50.1981,612.238,4.6156,206.577,0.3,"61.816315, 76.678688, 38.296314","53.584618, 27.366346, 33.781334",,,,,,47.5742,51.5665,45.8313,,1542.19,1159.31,1174.28
Sphere,53.0025,537.954,4.6476,254.373,0.3,"60.774307, 76.438583, 38.729671","50.300949, 27.843779, 20.341709",,,,,,46.9431,50.9977,45.6702,,1775.85,1315.68,1331.91
AABB,46.5654,546.013,4.6367,257.59,0.3,"60.509026, 76.299767, 37.668678","65.261497, 30.083279, 34.539974",,,,,,47.8414,50.4153,45.6702,,2029.72,1469.21,1489.58
Vertex,48.2314,829.561,4.9797,281.731,0.4,"61.598743, 76.650017, 38.062012","69.217888, 29.090103, 40.566269",,,,,,46.8074,50.4153,45.6702,,2280.17,1623.83,1646.71
Sphere,51.6517,693.615,4.5452,330.636,0.4,"60.028488, 76.015503, 38.287865","47.040421, 26.903263, 28.949871",,,,,,46.3992,50.4885,45.7204,,2511.57,1768.42,1794.3
AABB,46.1722,704.731,4.7369,335.582,0.4,"61.368496, 76.909218, 38.583958","65.215698, 30.928682, 36.890949",,,,,,46.8895,48.8718,45.7204,,2796.84,1923.08,1949.9
Vertex,47.905,1056.59,5.2405,359.81,0.5,"61.086849, 76.603119, 38.002975","57.738586, 28.831715, 36.750828",,,,,,46.1761,48.8718,45.7204,,3027.83,2080.12,2107.42
Sphere,51.5556,849.377,4.724,407.22,0.5,"61.752274, 76.758224, 38.243313","41.522060, 29.397453, 35.861820",,,,,,46.3027,48.3429,45.5539,,3288.18,2233.15,2263.19
